Fields,Expected,Actual,Result
alias_id,64,64,Pass
rank,2,2,Pass
month,1,1,Pass
follow_percentage,86.5279244098,86.5279244098,Pass
year,2016,2016,Pass
alias_name,istock photo,istock photo,Pass
model_alps_score,53.7287659149,53.7287659149,Pass
model_social_score,100,100,Pass
da_31_50,3128,3128,Pass
model_onpage_score,34.3884213848,34.3884213848,Pass
total_backlinks,5624434,5624434,Pass
link_type_gov,70,70,Pass
base_domain,istockphoto.com,istockphoto.com,Pass
model_offpage_relevancy_score,25.0689969955,25.0689969955,Pass
keyword_id,488,488,Pass
project_id,17,17,Pass
pa_81_100,1,1,Pass
unique_domain,31755,31755,Pass
pa_31_50,194,194,Pass
tenant_code,iquanti,iquanti,Pass
da_0_30,46,46,Pass
pa_0_30,9797,9797,Pass
links_domain_ratio,177.119634703,177.119634703,Pass
pa_51_80,8,8,Pass
keyword,stock photos,stock photos,Pass
url,http://www.istockphoto.com/,http://www.istockphoto.com/,Pass
da_61_100,4989,4989,Pass
da_51_60,1837,1837,Pass
search_volume,10,10,Pass
model_offpage_score,100.0,100.0,Pass
link_type_edu,2148,2148,Pass
link_type_others,5622216,5622216,Pass
alias_id,-1,-1,Pass
rank,4,4,Pass
month,1,1,Pass
follow_percentage,39.2656993066,39.2656993066,Pass
year,2016,2016,Pass
alias_name,NA,NA,Pass
model_alps_score,28.706168697,28.706168697,Pass
model_social_score,100,100,Pass
da_31_50,1023,1023,Pass
model_onpage_score,20.8555261004,20.8555261004,Pass
total_backlinks,1051177,1051177,Pass
link_type_gov,21,21,Pass
base_domain,123rf.com,123rf.com,Pass
model_offpage_relevancy_score,30.9456730228,30.9456730228,Pass
keyword_id,488,488,Pass
project_id,17,17,Pass
pa_81_100,0,0,Pass
unique_domain,7334,7334,Pass
pa_31_50,74,74,Pass
tenant_code,iquanti,iquanti,Pass
da_0_30,23,23,Pass
pa_0_30,9920,9920,Pass
links_domain_ratio,143.329288247,143.329288247,Pass
pa_51_80,6,6,Pass
keyword,stock photos,stock photos,Pass
url,http://www.123rf.com/,http://www.123rf.com/,Pass
da_61_100,1533,1533,Pass
da_51_60,7421,7421,Pass
search_volume,10,10,Pass
model_offpage_score,99.9993711389,99.9993711389,Pass
link_type_edu,326,326,Pass
link_type_others,1050830,1050830,Pass
alias_id,-1,-1,Pass
rank,5,5,Pass
month,1,1,Pass
follow_percentage,NA,NA,Pass
year,2016,2016,Pass
