Fields,Expected,Actual,Result
theme_total_keywords,0,0,Pass
title,"Compare No Fee, Student, Premium credit cards or by AIR MILES, CashBack, Travel rewards: BMO Credit Cards | Credit cards | BMO","Compare No Fee, Student, Premium credit cards or by AIR MILES, CashBack, Travel rewards: BMO Credit Cards | Credit cards | BMO",Pass
url,https://www.bmo.com/main/personal/credit-cards/compare-tool,https://www.bmo.com/main/personal/credit-cards/compare-tool,Pass
theme_rank_gt_20,0,0,Pass
rank_6_10,0,0,Pass
theme_rank_11_20,0,0,Pass
rank_0_5,0,0,Pass
theme_rank_0_5,0,0,Pass
weighted_onpage_score,36.8332362814,36.8332362814,Pass
traffic,NA,NA,Pass
total_search_volume,9900,9900,Pass
theme_rank_6_10,0,0,Pass
related_themes,NA,NA,Pass
rank_gt_20,0,0,Pass
rank_11_20,1,1,Pass
total_keywords,1,1,Pass
theme_total_keywords,0,0,Pass
title,"AIR MILES, CashBack, Travel, No Fee, Student: BMO Credit Cards | Credit cards | BMO","AIR MILES, CashBack, Travel, No Fee, Student: BMO Credit Cards | Credit cards | BMO",Pass
url,http://www.bmo.com/main/personal/credit-cards,http://www.bmo.com/main/personal/credit-cards,Pass
theme_rank_gt_20,0,0,Pass
rank_6_10,1,1,Pass
theme_rank_11_20,0,0,Pass
rank_0_5,0,0,Pass
theme_rank_0_5,0,0,Pass
weighted_onpage_score,27.6515018387,27.6515018387,Pass
traffic,NA,NA,Pass
total_search_volume,11100,11100,Pass
theme_rank_6_10,0,0,Pass
related_themes,NA,NA,Pass
rank_gt_20,0,0,Pass
rank_11_20,2,2,Pass
total_keywords,3,3,Pass
