Fields,Expected,Actual,Result
alias_id,0,0,Pass
rank,1,1,Pass
month,1,1,Pass
follow_percentage,80.382540461,80.382540461,Pass
year,2016,2016,Pass
alias_name,__me__,__me__,Pass
model_alps_score,61.812592532,61.812592532,Pass
model_social_score,100,100,Pass
da_31_50,312,312,Pass
model_onpage_score,49.2742497378,49.2742497378,Pass
total_backlinks,1816749,1816749,Pass
link_type_gov,229,229,Pass
base_domain,shutterstock.com,shutterstock.com,Pass
model_offpage_relevancy_score,24.3983920301,24.3983920301,Pass
keyword_id,488,488,Pass
project_id,17,17,Pass
pa_81_100,1,1,Pass
unique_domain,30503,30503,Pass
pa_31_50,472,472,Pass
tenant_code,iquanti,iquanti,Pass
da_0_30,5,5,Pass
pa_0_30,9518,9518,Pass
links_domain_ratio,59.5596826542,59.5596826542,Pass
pa_51_80,9,9,Pass
keyword,stock photos,stock photos,Pass
url,http://www.shutterstock.com/,http://www.shutterstock.com/,Pass
da_61_100,9117,9117,Pass
da_51_60,566,566,Pass
search_volume,10,10,Pass
model_offpage_score,100.0,100.0,Pass
link_type_edu,8321,8321,Pass
link_type_others,1808199,1808199,Pass
alias_id,0,0,Pass
rank,3,3,Pass
month,1,1,Pass
follow_percentage,36.7893072998,36.7893072998,Pass
year,2016,2016,Pass
alias_name,__me__,__me__,Pass
model_alps_score,19.3937318553,19.3937318553,Pass
model_social_score,0,0,Pass
da_31_50,1214,1214,Pass
model_onpage_score,52.4442147082,52.4442147082,Pass
total_backlinks,104071,104071,Pass
link_type_gov,0,0,Pass
base_domain,bigstockphoto.com,bigstockphoto.com,Pass
model_offpage_relevancy_score,23.0587891548,23.0587891548,Pass
keyword_id,488,488,Pass
project_id,17,17,Pass
pa_81_100,0,0,Pass
unique_domain,4824,4824,Pass
pa_31_50,19,19,Pass
tenant_code,iquanti,iquanti,Pass
da_0_30,9,9,Pass
pa_0_30,9981,9981,Pass
links_domain_ratio,21.5735903814,21.5735903814,Pass
pa_51_80,0,0,Pass
keyword,stock photos,stock photos,Pass
url,http://www.bigstockphoto.com/,http://www.bigstockphoto.com/,Pass
da_61_100,5588,5588,Pass
da_51_60,3189,3189,Pass
search_volume,10,10,Pass
model_offpage_score,99.9551938602,99.9551938602,Pass
link_type_edu,59,59,Pass
link_type_others,104012,104012,Pass
